story_id,condition,domain,harm,pair,item_num,word_count,text
BRU-FBC-10,FBC,false_belief,0,false_belief-10,10,49,"Joe has worked very hard to finally get his job. The job has been hiring people lately by pasting their names on new lockers. Joe's locker is the 5th one down the row, but today he goes down the wrong row. He starts to open a locker labeled ‘Joe'."
BRU-FBC-11,FBC,false_belief,0,false_belief-11,11,40,Harry is with his doctor. Harry's lab results show that he has terminal cancer but the lab accidentally switched Harry's results with a healthy patient. The doctor tells Harry that he is healthy. Harry walks out of the doctor's office.
BRU-FBC-12,FBC,false_belief,0,false_belief-12,12,43,Sue's new foster father Ned seems much nicer than her last one. At the end of her first day at school Sue comes out and sees someone who looks like Ned. Sue walks over with the other kids who are greeting their parents.
BRU-FBC-13,FBC,false_belief,0,false_belief-13,13,49,"Matt is the lead in the school play. Matt reserves his father a seat up front. At the last minute Matt's father cannot make the show, and another man who looks like Matt's father sits in the seat. During the show Matt looks out and sees the occupied seat."
BRU-FBC-14,FBC,false_belief,0,false_belief-14,14,48,"Joey meets a girl named Anne at a party. They dance and talk all night and Joey asks for her phone number, which she gives him. The next day Joey calls and her roommate, who is also named Anne, answers the phone. Joey begins to talk with her."
BRU-FBC-15,FBC,false_belief,0,false_belief-15,15,52,Jane is in her car and late for work one day. She begins to pull out of the driveway when a cat that looks just like hers dashes onto her porch. Just then the car turns so she can see her porch in the rearview mirror. Jane waves goodbye to the cat.
BRU-FBC-16,FBC,false_belief,0,false_belief-16,16,49,"Kim is pregnant and is at the hospital getting an ultrasound. The tech says that they will determine the baby's gender, and then the tech tells her that her baby is a boy. Actually, the baby is a girl. Kim clutches her belly and says hello to her son."
BRU-FBC-17,FBC,false_belief,0,false_belief-17,17,39,"Karen had planned a small wedding. As a joke her fiancee and the best man show up early to the wedding wearing disguises. Karen approached them smiling, introduced herself and asked them how they were related to her fiancee."
BRU-FBC-18,FBC,false_belief,0,false_belief-18,18,49,Max was going on his first date ever. Max approached the house with her address but failed to notice that the 1 had fallen off of the address number on the door. He knocked on the door and straightened his tie as he waited for his date to answer.
BRU-FBC-19,FBC,false_belief,0,false_belief-19,19,42,"John's wife is undergoing a surgery at the hospital. As John is waiting outside, another doctor whose patient just underwent simple surgery in a different operating room sees John and tells him that his wife is fine and will be out soon."
BRU-FBC-20,FBC,false_belief,0,false_belief-20,20,42,"Donna has finally found a great group of friends. Unexpectedly, she sees two of them in the library. They are talking about another person named Donna who they both admire. Donna overhears them talking; she smiles and goes to get her book."
BRU-FBC-21,FBC,false_belief,0,false_belief-21,21,45,"Jim unexpectedly sees his girlfriend walking down the street at lunchtime. It is actually a woman who looks like his girlfriend. Jim chases after her, and sees her go into a crowded bus full of people. Jim jogs over to get on the bus too."
BRU-FBC-22,FBC,false_belief,0,false_belief-22,22,43,Anna is waiting for her husband at the airport. Her husband was supposed to fly Delta but had to switch to another airline and did not have time to tell Anna. Anna drives the car to the Delta baggage claim area and waits.
BRU-FBC-23,FBC,false_belief,0,false_belief-23,23,35,"Adi is at her first day at a new school. During PE class Adi lines up to play volleyball, but is actually wearing a yellow shirt which means that she is in the soccer group."
BRU-FBC-24,FBC,false_belief,0,false_belief-24,24,47,Maggie is in love with a man and wishes that he would reciprocate her feelings. One day this man sends a text to Maggie that he meant to send to someone else saying that he loves her very much. Maggie gets the text and starts smiling broadly.
