model_tag,scenario_group,intent_decodability_margin,intent_use_primary,intent_use_matched
Qwen2.5-7B-Instruct,VET,4.3137,-0.27637,0.0749
Qwen2.5-7B-Instruct,VITAMIN,6.24256,-0.20545,0.0974
Qwen2.5-7B-Instruct,WET FLOOR,3.77234,-0.12215,0.06467
Qwen2.5-7B-Instruct,ZOO,3.26616,-0.31144,-0.01066
Qwen2.5-7B,ALARM,1.44342,-0.06808,-0.00749
Qwen2.5-7B,ASTHMA,2.18063,-0.04228,-0.02509
Qwen2.5-7B,Allergy,3.56369,,0.00487
Qwen2.5-7B,BAR,5.86557,-0.03666,-0.00091
Qwen2.5-7B,BIKE,3.22506,-0.0503,0.01292
Qwen2.5-7B,BOUNCY BALL,5.089,-0.08378,0.01097
Qwen2.5-7B,BRIDGE,5.8846,-0.08967,0.00449
Qwen2.5-7B,CAYO,2.63252,-0.05983,-0.01229
Qwen2.5-7B,CHAIRLIFT,5.2744,-0.0519,0.00942
Qwen2.5-7B,COFFEE,3.3104,-0.08017,0.01538
Qwen2.5-7B,CPR,2.31193,-0.02206,0.00753
Qwen2.5-7B,Dog,5.01057,,0.03394
Qwen2.5-7B,FRAT,5.05495,-0.05256,-0.00145
Qwen2.5-7B,FUMIGATION,-0.2612,-0.0435,-0.00824
Qwen2.5-7B,HAM,6.02383,-0.01517,0.00265
Qwen2.5-7B,HARNESS,4.89218,-0.07167,0.00021
Qwen2.5-7B,HUNT,3.28238,-0.03773,-0.01638
Qwen2.5-7B,IGLOO,7.72243,-0.06401,-0.02295
Qwen2.5-7B,IRON,2.89136,-0.13015,-0.03182
Qwen2.5-7B,JELLYFISH,6.61918,-0.09886,-0.01184
Qwen2.5-7B,LAB,5.60446,-0.07773,-0.00718
Qwen2.5-7B,LAPTOP,5.3352,-0.06809,-0.00244
Qwen2.5-7B,LATEX,9.30069,-0.0305,0.03734
Qwen2.5-7B,LOGAN AIRPORT,5.43145,-0.06922,0.01438
Qwen2.5-7B,MALARIA POND,6.25351,-0.05779,-0.02703
Qwen2.5-7B,MEATLOAF,2.70538,-0.05851,-0.0128
Qwen2.5-7B,MOTHER,4.56436,-0.01097,0.00498
Qwen2.5-7B,MOTORBOAT,3.09005,-0.01083,0.01764
Qwen2.5-7B,MUSHROOMS,3.80975,-0.04292,0.0207
Qwen2.5-7B,PARACHUTES,5.70623,-0.03402,0.00326
Qwen2.5-7B,PEANUT ALLERGY,4.4027,-0.04207,-0.00543
Qwen2.5-7B,POOL,6.47265,-0.07144,-0.00674
Qwen2.5-7B,POPCORN,4.24685,-0.012,0.01093
Qwen2.5-7B,PORRIDGE,2.74731,-0.03774,-0.00706
Qwen2.5-7B,Parent,0.57487,,0.00884
Qwen2.5-7B,Poison,5.30581,,0.03056
Qwen2.5-7B,RABIES,3.90492,-0.05205,-0.00379
Qwen2.5-7B,RIVER,4.61554,-0.06028,-0.01513
Qwen2.5-7B,SAFETY CORD,2.63045,-0.0276,0.01488
Qwen2.5-7B,SAFETY TOWN,7.87746,-0.05093,-0.00678
Qwen2.5-7B,SEATBELT,2.22276,-0.02798,0.01538
Qwen2.5-7B,SESAME,2.63435,-0.06568,0.00553
Qwen2.5-7B,SPINACH,4.53906,-0.05855,-0.01673
Qwen2.5-7B,SPRING BREAK,6.34702,-0.00434,0.01845
Qwen2.5-7B,SUSHI,3.45579,-0.05304,-0.00393
Qwen2.5-7B,Sibling,2.89542,,-0.00534
Qwen2.5-7B,TEENAGERS,2.50481,0.00397,0.01691
Qwen2.5-7B,TRACKS,4.48571,-0.07996,0.00022
Qwen2.5-7B,TREE HOUSE,5.2903,-0.06153,-0.00938
Qwen2.5-7B,VET,5.19607,-0.04399,-0.00573
Qwen2.5-7B,VITAMIN,4.80457,-0.02312,0.01052
Qwen2.5-7B,WET FLOOR,3.801,-0.05029,0.00054
Qwen2.5-7B,ZOO,2.60648,-0.06388,-0.01148
