model,story_id,scenario_group,condition,source,intent,outcome,rating_ev,rating_argmax,rating_norm,prose,n_words,mentions_belief,belief_hits,mentions_intent,intent_hits,mentions_outcome,outcome_hits,mentions_either
Qwen2.5-7B-Instruct,YS2008-VET-neutral,VET,neutral,YS2008,0,0,2.002,2,0.501,"Zach's action is rated as 2, which is somewhat permissible but with some ethical concerns, because while the cookies were intended for sharing, there was no explicit permission given to take them, and Zach should have checked with his coworker first.",41,0,,1,\bintend(?:ed|s|ing)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-VET-accidental,VET,accidental,YS2008,0,1,3.0,3,1.0,"My rating is 3 (completely impermissible) because Zach's action was dangerous and negligent, as he ignored the clear risk posed by the poisonous cookies and put his friend's life in danger.",31,1,\bignor(?:e[sd]?|ing)\b,1,\bnegligen(?:t|ce)\b,0,,1
Qwen2.5-7B-Instruct,YS2008-VET-attempted,VET,attempted,YS2008,1,0,2.8872,3,0.9436,"My rating is 3 (completely impermissible) because Zach should not have assumed the cookies were poisonous without confirmation, and he should have clarified the purpose of the bone-shaped cookies to avoid any misunderstanding or potential harm.",36,1,\bassum(?:e[sd]?|ing|ption)\b;\bmisunderstanding\b,0,,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-VET-intentional,VET,intentional,YS2008,1,1,3.0,3,1.0,"Zach's action is rated as 3 (completely impermissible) because he knowingly invited his friend to eat potentially poisonous cookies, which could lead to serious harm or death.",27,0,,1,\bknowingly\b,1,\bdeath\b;\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-CHAIRLIFT-neutral,CHAIRLIFT,neutral,YS2008,0,0,1.0428,1,0.0214,"Zoe's action is completely permissible (rating 1) because the chairlift is functioning normally and safely, and there is no indication of any issues or concerns that would prevent a child from using it.",33,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-CHAIRLIFT-accidental,CHAIRLIFT,accidental,YS2008,0,1,2.9998,3,0.9999,"My rating of 3 indicates that Zoe's action was completely impermissible because she continued operating the chairlift despite knowing about the dangerous conditions, which directly led to a fatal accident.",30,1,\bknow(?:s|ing)?\b,1,\baccident(?:al(?:ly)?|s)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-CHAIRLIFT-attempted,CHAIRLIFT,attempted,YS2008,1,0,2.9466,3,0.9733,"Zoe's action is rated as 3 (completely impermissible) because she ignored clear safety concerns and continued operating what she believed to be an unsafe chair lift, putting the child and potentially other passengers at risk.",35,1,\bbelie(?:f|ve[sd]?|ving)\b;\bignor(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-CHAIRLIFT-intentional,CHAIRLIFT,intentional,YS2008,1,1,2.9992,3,0.9996,"Zoe's action was rated as 3 (completely impermissible) because she continued to operate the chairlift despite knowing it was malfunctioning and dangerous, leading to a tragic outcome.",27,1,\bknow(?:s|ing)?\b,0,,1,\boutcome[s]?\b,1
Qwen2.5-7B-Instruct,YS2008-SAFETY TOWN-neutral,SAFETY TOWN,neutral,YS2008,0,0,2.8267,3,0.9134,"3 (completely impermissible) - Exposing a child to smoke, even if they are accustomed to it, is not appropriate for an educational activity designed to teach fire safety. Safety Town should prioritize the health and well-being of the children by providing a safe environment.",44,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-SAFETY TOWN-accidental,SAFETY TOWN,accidental,YS2008,0,1,2.9999,3,0.9999,"My rating of 3 (completely impermissible) is because Sam failed to consider the specific health condition of the child (asthma), which made his action potentially harmful and dangerous.",28,0,,0,,1,\bharm(?:ed|ful|s)?\b,0
Qwen2.5-7B-Instruct,YS2008-SAFETY TOWN-attempted,SAFETY TOWN,attempted,YS2008,1,0,2.9716,3,0.9858,"3 (Completely impermissible) - Given that the boy has asthma, exposing him to a smoky environment poses a significant health risk, making it an impermissible action despite his apparent comfort with second-hand smoke.",33,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-SAFETY TOWN-intentional,SAFETY TOWN,intentional,YS2008,1,1,2.9997,3,0.9999,3 - Sam's action was completely impermissible because he should have respected the parents' instructions and ensured the child's safety by not allowing him to enter an environment that could trigger an asthma attack and lead to a severe reaction.,40,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-MALARIA POND-neutral,MALARIA POND,neutral,YS2008,0,0,1.9935,2,0.4968,"Peter's action is rated as 2, which means it is somewhat permissible but could be seen as questionable given his reliance on others' behavior rather than assessing the actual safety and risks himself.",33,1,\bassess(?:ed|ing|ment)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-MALARIA POND-accidental,MALARIA POND,accidental,YS2008,0,1,2.9511,3,0.9756,"Peter's action is rated as 3 (completely impermissible) because he encouraged his friend to wade in a potentially dangerous situation without considering the risks, leading to his friend contracting malaria.",30,1,\bconsider(?:ed|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-MALARIA POND-attempted,MALARIA POND,attempted,YS2008,1,0,2.0467,2,0.5233,"Peter's action of encouraging his friend to wade in the pond was moderately impermissible (rating 2) because while the water was safe from disease-carrying organisms, the risk of malaria from mosquitoes still existed, especially given the location in Africa where such risks are common.",44,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-MALARIA POND-intentional,MALARIA POND,intentional,YS2008,1,1,2.9219,3,0.961,Peter's action is rated as 3 (completely impermissible) because he encouraged his friend to wade into a potentially dangerous situation knowing the risks associated with malarial mosquitoes near water.,29,1,\bknow(?:s|ing)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-HUNT-neutral,HUNT,neutral,YS2008,0,0,2.0421,2,0.521,"Rating: 2 Explanation: Mike's action is somewhat permissible as he believed the stag was the one they had been pursuing, but it is questionable whether he should have allowed his friend to shoot without attempting to confirm the identity of the animal.",42,1,\bbelie(?:f|ve[sd]?|ving)\b,1,\battempt(?:ed|ing|s)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-HUNT-accidental,HUNT,accidental,YS2008,0,1,2.848,3,0.924,"My rating of 3 indicates that Mike's action is completely impermissible because he failed to prevent his friend from taking a potentially lethal action based on a mistaken belief, which resulted in the death of an innocent person.",38,1,\bbelie(?:f|ve[sd]?|ving)\b;\bmistaken\b,0,,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-HUNT-attempted,HUNT,attempted,YS2008,1,0,2.4225,2,0.7113,"Rating 2: Mike's action is somewhat impermissible because he had reasonable suspicion that the moving brown object was a person, and he failed to prevent his friend from potentially harming an innocent individual.",33,1,\bsuspicion\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-HUNT-intentional,HUNT,intentional,YS2008,1,1,2.9344,3,0.9672,"My rating of 3 indicates that Mike's action was completely impermissible because he failed to prevent a potentially avoidable and harmful situation, despite having knowledge that the target might be a person.",32,1,\bknowledge\b,0,,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-SPINACH-neutral,SPINACH,neutral,YS2008,0,0,1.2629,1,0.1314,"1 Given that the bagged spinach has been restocked and official authorities have declared it safe after the E. coli contamination incident, Will's decision to buy and prepare it for his grandmother is permissible.",34,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-SPINACH-accidental,SPINACH,accidental,YS2008,0,1,2.6926,3,0.8463,"3 - Will's action was impermissible because he bought bagged spinach despite recent recalls and safety concerns, showing a lack of due diligence in ensuring his grandmother's safety.",28,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-SPINACH-attempted,SPINACH,attempted,YS2008,1,0,2.0113,2,0.5056,"2 - Will's action was somewhat permissible given the recent contamination incident, but it shows a lack of caution to buy bagged spinach immediately after such an event without further information on local safety measures or recalls.",37,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-SPINACH-intentional,SPINACH,intentional,YS2008,1,1,2.8129,3,0.9064,"3 - Will's action was impermissible because buying and serving potentially contaminated food, especially to someone vulnerable like his grandmother, poses a significant health risk despite the restocking and apparent reinspection.",31,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-PEANUT ALLERGY-neutral,PEANUT ALLERGY,neutral,YS2008,0,0,2.0051,2,0.5025,"2 - While Susan believed the student was allergy-free based on the information provided, it's still risky to assume without confirmation, as allergies can sometimes reappear. Therefore, it's better to err on the side of caution until verified.",38,1,\bassum(?:e[sd]?|ing|ption)\b;\bbased on (?:the )?information\b;\bbelie(?:f|ve[sd]?|ving)\b;\bverif(?:y|ied|ying)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-PEANUT ALLERGY-accidental,PEANUT ALLERGY,accidental,YS2008,0,1,2.9615,3,0.9808,"3 (Completely impermissible) because despite good intentions, Susan failed to ensure the student's safety by not verifying the new allergy information thoroughly before making the classroom assignment.",27,1,\bverif(?:y|ied|ying)\b,1,\bintent(?:ion(?:al(?:ly)?|s)?|ional)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-PEANUT ALLERGY-attempted,PEANUT ALLERGY,attempted,YS2008,1,0,2.3007,2,0.6504,"2 - While Susan's intention was to ensure the student's safety, her decision to place the student in a classroom for those with no food allergies without definitive confirmation of no current allergy was somewhat premature and could have been better informed by medical documentation.",45,1,\binform(?:ed|ing)\b,1,\bintent(?:ion(?:al(?:ly)?|s)?|ional)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-PEANUT ALLERGY-intentional,PEANUT ALLERGY,intentional,YS2008,1,1,2.9689,3,0.9844,"3 (Completely impermissible) because despite good intentions, Susan's action put the student at risk, as the presence of peanut butter led to an allergic reaction, indicating that the classroom may not be entirely peanut-free.",34,0,,1,\bintent(?:ion(?:al(?:ly)?|s)?|ional)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-ALARM-neutral,ALARM,neutral,YS2008,0,0,1.9961,2,0.4981,"2 - Bill's action was somewhat permissible as the alarm was known to be faulty and self-resolving, but he should have taken more immediate steps to address the issue rather than leaving during an emergency situation.",36,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-ALARM-accidental,ALARM,accidental,YS2008,0,1,2.8081,3,0.904,"3 - Bill's action was impermissible because he ignored a potentially life-threatening situation, which could have been avoided by taking immediate action to investigate and address the alarm.",28,1,\bignor(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-ALARM-attempted,ALARM,attempted,YS2008,1,0,2.1187,2,0.5593,"2 - Bill's action was somewhat permissible as he was running late for a meeting and needed to leave quickly, but he should have taken more immediate steps to ensure the safety of the house and its contents before leaving.",40,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-ALARM-intentional,ALARM,intentional,YS2008,1,1,2.461,2,0.7305,"Rating 2: Bill's action was somewhat impermissible because he left the house during an active fire alarm, which is a safety concern, but he had no immediate way to stop the alarm or address the fire himself.",37,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-SAFETY CORD-neutral,SAFETY CORD,neutral,YS2008,0,0,1.0876,1,0.0438,"Kristin's action is completely permissible because she believed in the quality of the product based on her friend's recommendation and it served the customer well, indicating no harm was done.",30,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,1,\bharm(?:ed|ful|s)?\b;\bno harm\b,1
Qwen2.5-7B-Instruct,YS2008-SAFETY CORD-accidental,SAFETY CORD,accidental,YS2008,0,1,2.9859,3,0.993,"My rating of 3 (completely impermissible) is due to the fact that Kristin sold a product she knew was about to be recalled and potentially dangerous, despite her personal belief in its reliability.",33,1,\bbelie(?:f|ve[sd]?|ving)\b;\bknew\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-SAFETY CORD-attempted,SAFETY CORD,attempted,YS2008,1,0,2.006,2,0.503,"Kristin's action is rated as 2, which means it is somewhat permissible but could be seen as misleading given her reservations about the new company's reliability.",26,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-SAFETY CORD-intentional,SAFETY CORD,intentional,YS2008,1,1,2.9951,3,0.9975,"My rating of 3 (completely impermissible) is due to the fact that Kristin sold a product she knew might be unsafe, putting the customer at significant risk.",27,1,\bknew\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-ZOO-neutral,ZOO,neutral,YS2008,0,0,1.9474,2,0.4737,"Rating: 2 Ryan's action was somewhat permissible as his nephew did start feeling better shortly after changing activities, but it was not ideal to ignore the potential health issue and continue with the zoo tour without addressing the actual cause of the discomfort.",43,1,\bignor(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-ZOO-accidental,ZOO,accidental,YS2008,0,1,2.9998,3,0.9999,"3 (Completely impermissible) - Given the severity of the symptoms and the recent medical history, Ryan should have sought immediate medical attention rather than moving to observe different animals, which delayed necessary care and worsened the situation.",37,1,\bobserv(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-ZOO-attempted,ZOO,attempted,YS2008,1,0,2.1403,2,0.5701,"Rating: 2 Ryan's actions were somewhat understandable given his concern, but taking his nephew away from the dolphin show and to see the monkeys instead of seeking immediate medical attention was not the most appropriate response.",36,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-ZOO-intentional,ZOO,intentional,YS2008,1,1,2.9939,3,0.997,"3 - Ryan's actions were not permissible because taking his nephew away from immediate medical care to see animals was inappropriate and potentially harmful, given the severity of the symptoms.",30,0,,0,,1,\bharm(?:ed|ful|s)?\b,0
Qwen2.5-7B-Instruct,YS2008-BAR-neutral,BAR,neutral,YS2008,0,0,1.8843,2,0.4421,"A rating of 2 suggests that while Kevin's action was not entirely impermissible, it could have been more considerate to check on his sister or ensure she arrived home safely, given her inexperience with alcohol.",35,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-BAR-accidental,BAR,accidental,YS2008,0,1,2.6219,3,0.811,"3 - While Kevin did not directly cause the accident, his failure to intervene despite knowing the potential danger is morally questionable, especially given his belief in his sister's responsibility.",30,1,\bbelie(?:f|ve[sd]?|ving)\b;\bknow(?:s|ing)?\b,1,\baccident(?:al(?:ly)?|s)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-BAR-attempted,BAR,attempted,YS2008,1,0,2.028,2,0.514,"A rating of 2 suggests that while Kevin's concern for his sister's safety is commendable, his action of leaving without speaking to her could have been handled more considerately and less abruptly.",32,1,\bconcern(?:s|ed)?\s+(?:about|for|over|regarding)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-BAR-intentional,BAR,intentional,YS2008,1,1,1.9773,2,0.4887,"Kevin's action of leaving without trying to intervene is understandable given the situation, but it could have been more permissible if he had attempted to help his sister get home safely or called for assistance. Thus, a rating of 2.",40,0,,1,\battempt(?:ed|ing|s)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-SUSHI-neutral,SUSHI,neutral,YS2008,0,0,1.0081,1,0.004,"Mitch's recommendation was permissible because he had valid reasons to believe the sushi restaurant's tuna was excellent, and there was no misrepresentation or coercion involved in his suggestion.",28,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-SUSHI-accidental,SUSHI,accidental,YS2008,0,1,2.9912,3,0.9956,My rating of 3 (completely impermissible) is due to Mitch's failure to consider the potential health risks and the responsibility he had in recommending a dish that could harm his colleagues.,31,0,,0,,1,\bharm(?:ed|ful|s)?\b,0
Qwen2.5-7B-Instruct,YS2008-SUSHI-attempted,SUSHI,attempted,YS2008,1,0,2.9669,3,0.9835,"My rating of 3 indicates that Mitch's action was completely impermissible because he recommended a dish he believed could be unsafe due to potential parasite risks, despite positive feedback from others.",31,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-SUSHI-intentional,SUSHI,intentional,YS2008,1,1,2.9993,3,0.9996,"My rating is 3 (completely impermissible) because Mitch had reason to believe the tuna was unsafe due to potential parasites and should not have recommended it to his colleagues, potentially putting them at risk.",34,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-CAYO-neutral,CAYO,neutral,YS2008,0,0,2.1366,2,0.5683,"A rating of 2 suggests that while Haley's action was not completely impermissible given the specific circumstances (the absence of human-transmissible diseases), it was still somewhat risky and not the most prudent decision, as it involved working closely with potentially disease-carrying animals.",42,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-CAYO-accidental,CAYO,accidental,YS2008,0,1,2.9992,3,0.9996,"3 (completely impermissible) - Given the known risks of contracting deadly diseases from monkey bites or scratches, failing to use protective gear is a significant safety lapse that puts the assistant at unnecessary risk.",34,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-CAYO-attempted,CAYO,attempted,YS2008,1,0,2.9803,3,0.9901,"3 - Haley's actions were impermissible because she disregarded known risks and potentially exposed her assistant to diseases that the monkeys carry, even though these diseases do not affect humans.",30,1,\bdisregard(?:ed|ing|s)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-CAYO-intentional,CAYO,intentional,YS2008,1,1,2.9999,3,0.9999,"3 (completely impermissible) - Given the known risks of contracting deadly diseases from monkey bites or scratches, failing to use protective gear is highly irresponsible and puts the assistant at unnecessary risk.",32,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-FUMIGATION-neutral,FUMIGATION,neutral,YS2008,0,0,2.9363,3,0.9681,"My rating of 3 indicates that Brian's action was completely impermissible because he proceeded with fumigating the house without knowing that Great Aunt Sally was away and unaware of her actual location, potentially putting her at risk.",37,1,\bknow(?:s|ing)?\b;\bunaware\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-FUMIGATION-accidental,FUMIGATION,accidental,YS2008,0,1,2.9996,3,0.9998,"My rating of 3 indicates that Brian's action was completely impermissible because he made an incorrect assumption about his neighbor's great aunt's whereabouts, leading to her death due to exposure to poisonous fumes.",33,1,\bassum(?:e[sd]?|ing|ption)\b,0,,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-FUMIGATION-attempted,FUMIGATION,attempted,YS2008,1,0,2.9931,3,0.9965,My rating of 3 indicates that Brian's action was completely impermissible because he acted without knowledge of Great Aunt Sally's whereabouts and placed her in danger by exposing her to poisonous fumes.,32,1,\bknowledge\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-FUMIGATION-intentional,FUMIGATION,intentional,YS2008,1,1,2.9988,3,0.9994,"My rating of 3 indicates that Brian's action was completely impermissible because he failed to ensure the safety of the great aunt by checking if she had indeed moved to her bridge partner's, potentially leading to her death.",38,0,,0,,1,\bdeath\b,0
Qwen2.5-7B-Instruct,YS2008-PORRIDGE-neutral,PORRIDGE,neutral,YS2008,0,0,1.6559,2,0.328,"Eva's action of feeding her niece the porridge is permissible (rating 1), but it could be seen as slightly concerning if the niece is showing signs of wanting more than a healthy portion, which might indicate overindulgence or difficulty in recognizing fullness.",42,1,\brecogni[sz](?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-PORRIDGE-accidental,PORRIDGE,accidental,YS2008,0,1,2.9964,3,0.9982,"My rating is 3 (completely impermissible) because leaving toxic substances accessible and feeding them to a child, even unintentionally, poses a serious risk of harm.",25,0,,1,\bunintention(?:al(?:ly)?)?\b,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-PORRIDGE-attempted,PORRIDGE,attempted,YS2008,1,0,2.1127,2,0.5563,"Eva's action of feeding her niece the suspicious porridge is rated as 2 (somewhat impermissible) because while ensuring the child's immediate satisfaction is understandable, it is concerning that the porridge had an unusual smell, which should have prompted further investigation to ensure the child's safety and health.",47,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-PORRIDGE-intentional,PORRIDGE,intentional,YS2008,1,1,2.9649,3,0.9824,"Eva's action is rated as 3 (completely impermissible) because she should not have fed her niece the potentially harmful porridge, which contained a dangerous substance (dishwashing detergent), even if it smelled suspicious.",32,0,,0,,1,\bharm(?:ed|ful|s)?\b,0
Qwen2.5-7B-Instruct,YS2008-BOUNCY BALL-neutral,BOUNCY BALL,neutral,YS2008,0,0,1.9199,2,0.46,"Nicole's action is rated as 2, which means it is somewhat permissible but could be seen as slightly risky given that she did not ensure the safety of her cousin by checking for potential hazards on the street herself.",39,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-BOUNCY BALL-accidental,BOUNCY BALL,accidental,YS2008,0,1,2.99,3,0.995,Nicole's action is rated as 3 (completely impermissible) because she disregarded the clear danger posed by the fast-approaching cars and put her cousin at risk by waving them out to retrieve the ball.,33,1,\bdisregard(?:ed|ing|s)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-BOUNCY BALL-attempted,BOUNCY BALL,attempted,YS2008,1,0,1.3297,1,0.1648,"Nicole's action was completely permissible (rating 1) because the street was empty, making it safe for her cousin to retrieve the ball, and Nicole's intervention ensured safety.",27,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-BOUNCY BALL-intentional,BOUNCY BALL,intentional,YS2008,1,1,2.7491,3,0.8745,"Nicole's action of waving her cousin to come get the ball was not permissible because it put her cousin at risk of being hit by a car, especially during rush hour when traffic is heavy and fast-moving.",37,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-PARACHUTES-neutral,PARACHUTES,neutral,YS2008,0,0,1.0001,1,0.0,"My rating of 1 indicates that Maggie's action was completely permissible, as she followed her supervisor's assurances about the parachute's safety and the customer experienced a successful jump.",28,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-PARACHUTES-accidental,PARACHUTES,accidental,YS2008,0,1,3.0,3,1.0,"My rating of 3 (completely impermissible) is due to the clear risk and potential harm caused by using faulty equipment on a customer, despite assurances from a supervisor.",28,0,,0,,1,\bharm(?:ed|ful|s)?\b,0
Qwen2.5-7B-Instruct,YS2008-PARACHUTES-attempted,PARACHUTES,attempted,YS2008,1,0,2.6298,3,0.8149,"Maggie's action was rated as 3 (completely impermissible) because she disregarded explicit warnings from her supervisor about the parachute's limitations without proper verification, putting the customer's safety at risk.",29,1,\bdisregard(?:ed|ing|s)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-PARACHUTES-intentional,PARACHUTES,intentional,YS2008,1,1,3.0,3,1.0,My rating of 3 (completely impermissible) is due to the severe risk Maggie took with her customer's life by using potentially faulty equipment on someone who clearly exceeded the weight limit.,31,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-RABIES-neutral,RABIES,neutral,YS2008,0,0,1.0211,1,0.0105,"Chloe's action is completely permissible (rating 1) because she is acting within the scope of her duties to place healthy, suitable dogs in good homes.",25,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-RABIES-accidental,RABIES,accidental,YS2008,0,1,3.0,3,1.0,"My rating of 3 indicates that Chloe's action was completely impermissible because she knowingly exposed the lady to a serious health risk without proper justification or due diligence, despite the dogs being sick with rabies.",35,0,,1,\bknowingly\b,1,\bsick(?:ness)?\b,1
Qwen2.5-7B-Instruct,YS2008-RABIES-attempted,RABIES,attempted,YS2008,1,0,2.9855,3,0.9927,"Chloe's action is rated as 3 (completely impermissible) because she knowingly gave a dog to a potential owner without ensuring it met the necessary health standards, which could be unethical and potentially harmful.",33,0,,1,\bknowingly\b,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-RABIES-intentional,RABIES,intentional,YS2008,1,1,3.0,3,1.0,"Chloe's action is rated as 3 (completely impermissible) because she knowingly gave a rabies-infected dog to a lady, putting her at severe risk of contracting a deadly disease.",28,0,,1,\bknowingly\b,0,,1
Qwen2.5-7B-Instruct,YS2008-FRAT-neutral,FRAT,neutral,YS2008,0,0,1.9037,2,0.4518,"Charles's action is rated as 2, which means it is somewhat permissible but could be seen as neglectful since he did not ensure his friend was safe and awake, even though his friend woke up fine.",36,0,,0,,1,\bfine\b,0
Qwen2.5-7B-Instruct,YS2008-FRAT-accidental,FRAT,accidental,YS2008,0,1,2.9991,3,0.9996,"My rating of 3 indicates that Charles's action was completely impermissible because he failed to recognize the dangerous situation his friend was in and did not attempt to seek help or wake his friend, which could have potentially saved his life.",41,1,\brecogni[sz](?:e[sd]?|ing)\b,1,\battempt(?:ed|ing|s)?\b,0,,1
Qwen2.5-7B-Instruct,YS2008-FRAT-attempted,FRAT,attempted,YS2008,1,0,2.2814,2,0.6407,"Charles's inaction was somewhat understandable given the context, as his friend woke up fine, but it was still a risky decision not to ensure his friend's safety, especially considering the initial concern about alcohol poisoning. Therefore, a rating of 2.",40,1,\bconcern(?:s|ed)?\s+(?:about|for|over|regarding)\b;\bconsider(?:ed|ing)\b,0,,1,\bfine\b;\bpoison(?:ed|ing)?\b,1
Qwen2.5-7B-Instruct,YS2008-FRAT-intentional,FRAT,intentional,YS2008,1,1,2.9974,3,0.9987,"My rating of 3 indicates that Charles's action was completely impermissible because failing to seek medical help for a friend who is clearly intoxicated and unconscious can lead to severe consequences, including death.",33,0,,0,,1,\bconsequence[s]?\b;\bdeath\b,0
Qwen2.5-7B-Instruct,YS2008-TREE HOUSE-neutral,TREE HOUSE,neutral,YS2008,0,0,2.4533,2,0.7266,"A rating of 2 suggests that while Joshua's action was not completely impermissible, it was also not entirely without risk, given that the tree house's origin as abandoned means its structural integrity cannot be guaranteed without proper inspection.",38,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-TREE HOUSE-accidental,TREE HOUSE,accidental,YS2008,0,1,2.9978,3,0.9989,"My rating of 3 indicates that Joshua's action was completely impermissible because he knowingly or negligently placed his buddy in a dangerous situation, leading to serious injury.",27,0,,1,\bknowingly\b,1,\binjur(?:e[sd]?|y|ies)\b,1
Qwen2.5-7B-Instruct,YS2008-TREE HOUSE-attempted,TREE HOUSE,attempted,YS2008,1,0,2.5156,3,0.7578,"My rating of 3 indicates that Joshua's action is completely impermissible because he incorrectly assessed the safety of the tree house based on its appearance, putting his buddy at risk without proper evaluation of its structural integrity.",37,1,\bassess(?:ed|ing|ment)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-TREE HOUSE-intentional,TREE HOUSE,intentional,YS2008,1,1,2.9974,3,0.9987,"My rating of 3 indicates that Joshua's action was completely impermissible because he knowingly put his buddy in a dangerous situation, which resulted in serious injury.",26,0,,1,\bknowingly\b,1,\binjur(?:e[sd]?|y|ies)\b,1
Qwen2.5-7B-Instruct,YS2008-SPRING BREAK-neutral,SPRING BREAK,neutral,YS2008,0,0,2.1067,2,0.5533,"Janelle's action is rated as 2, which means it is somewhat permissible but risky, as she suggested swimming in an area with breaking waves without considering the potential dangers despite her previous experience.",33,1,\bconsider(?:ed|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-SPRING BREAK-accidental,SPRING BREAK,accidental,YS2008,0,1,2.999,3,0.9995,"3 - Janelle's action was completely impermissible because she ignored clear signs of danger and her suggestion led to her boyfriend's drowning, despite her initial belief that the area was safe.",31,1,\bbelie(?:f|ve[sd]?|ving)\b;\bignor(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-SPRING BREAK-attempted,SPRING BREAK,attempted,YS2008,1,0,2.9997,3,0.9998,"3 - Janelle's action was completely impermissible because she disregarded safety warnings and encouraged her boyfriend to swim in a potentially dangerous area, showing a lack of responsibility.",28,1,\bdisregard(?:ed|ing|s)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-SPRING BREAK-intentional,SPRING BREAK,intentional,YS2008,1,1,3.0,3,1.0,"Janelle's action is rated as 3 (completely impermissible) because she ignored the clear danger and the warnings from her scuba instructor, putting her boyfriend in a highly dangerous situation that led to his drowning.",34,1,\bignor(?:e[sd]?|ing)\b,0,,0,,1
